0.001865;0.0069;0.1384;-0.7135;0.727
0.009095;-0.2099;0.1707;0.4356;0.513
0.016730;-0.1267;-0.0440;-0.3807;0.404
0.027102;0.0480;0.0554;0.2513;0.262
0.032424;0.0458;0.0156;-0.3328;0.336
0.040613;-0.1290;-0.0305;0.1388;0.192
0.048519;0.0109;-0.0324;-0.1795;0.183
0.057127;0.0489;-0.0257;0.0335;0.065
0.064816;-0.0935;-0.0770;-0.0744;0.142
0.072972;-0.0985;-0.1013;0.0428;0.148
0.080843;0.0061;-0.0768;-0.0626;0.099
0.089328;0.0286;-0.0832;-0.0243;0.091
0.096752;-0.0209;-0.1176;-0.0793;0.143
0.104976;-0.0079;-0.0797;-0.0552;0.097
0.113093;0.0478;-0.0869;-0.0767;0.125
0.121087;-0.0156;-0.0725;-0.0598;0.095
0.129552;-0.0525;-0.0578;-0.0142;0.079
0.137147;-0.0247;-0.0531;-0.0213;0.062
0.145792;0.0025;-0.0342;-0.0212;0.040
0.155066;-0.0349;-0.0253;-0.0139;0.045
0.165721;-0.0251;-0.0418;-0.0355;0.060
0.169981;-0.0107;-0.0080;-0.0235;0.027
0.178357;-0.0225;-0.0080;-0.0355;0.043
0.186316;-0.0486;-0.0005;-0.0211;0.053
0.194428;-0.0390;0.0164;-0.0067;0.043
0.203329;-0.0295;0.0095;-0.0091;0.032
0.212134;-0.0392;0.0049;-0.0139;0.042
0.220070;-0.0300;0.0289;-0.0019;0.042
0.228218;-0.0162;0.0528;-0.0306;0.063
0.234794;-0.0023;0.0528;-0.0354;0.064
0.244346;-0.0292;0.0407;-0.0330;0.060
0.253613;-0.0225;0.0524;-0.0234;0.062
0.261601;-0.0205;0.0808;-0.0258;0.087
0.268371;-0.0229;0.0662;-0.0186;0.072
0.274263;-0.0184;0.0610;-0.0306;0.071
0.282497;-0.0207;0.0511;-0.0498;0.074
0.290329;-0.0090;0.0460;-0.0306;0.056
0.298363;-0.0134;0.0431;-0.0426;0.062
0.306546;-0.0179;0.0284;-0.0403;0.052
0.314464;-0.0296;-0.0053;-0.0283;0.041
0.322640;-0.0341;-0.0007;-0.0188;0.039
0.330467;-0.0313;0.0086;-0.0164;0.036
0.338821;-0.0263;-0.0175;-0.0116;0.034
0.346598;-0.0236;-0.0055;-0.0068;0.025
0.356156;-0.0261;-0.0007;-0.0284;0.039
0.367338;-0.0285;-0.0320;-0.0212;0.048
0.372053;0.0023;-0.0130;-0.0140;0.019
0.379154;-0.0338;-0.0370;-0.0260;0.056
0.387324;-0.0007;-0.0274;-0.0164;0.032
0.395897;-0.0133;-0.0178;-0.0068;0.023
0.404276;-0.0160;-0.0202;-0.0212;0.033
0.412180;-0.0236;-0.0106;-0.0355;0.044
0.419966;-0.0168;-0.0321;-0.0283;0.046
0.428801;-0.0221;0.0182;-0.0427;0.051
0.437869;-0.0104;0.0086;-0.0427;0.045
0.445466;-0.0177;0.0087;-0.0379;0.043
0.452015;-0.0201;-0.0007;-0.0355;0.041
0.461428;0.0064;-0.0150;-0.0307;0.035
0.467556;-0.0392;-0.0558;-0.0091;0.069
